year,month,threshold,lat,lon,prec,evap,in_degree,out_degree,clustering,ffl
2030,1,0.2367,-6.639901329037456,-64.54326923076923,228.7682293319737,89.4319414990169,49.63958122499594,49.63958122499594,0.3853586477658447,1513.3677884615386
2030,1,1.1514,-6.639901329037456,-64.54326923076923,228.7682293319737,89.4319414990169,49.63958122499594,49.63958122499594,0.2640638800218393,25.783653846153847
2030,1,3.112,-6.639901329037456,-64.54326923076923,228.7682293319737,89.4319414990169,49.63958122499594,49.63958122499594,0.04952171670921671,2.0913461538461537
2030,2,0.2367,-6.639901329037456,-64.54326923076923,203.05840357176774,80.49424547704244,47.321824453630384,47.321824453630384,0.39033287485916673,1316.4134615384614
2030,2,1.1514,-6.639901329037456,-64.54326923076923,203.05840357176774,80.49424547704244,47.321824453630384,47.321824453630384,0.2357270020484827,20.860576923076923
2030,2,3.112,-6.639901329037456,-64.54326923076923,203.05840357176774,80.49424547704244,47.321824453630384,47.321824453630384,0.0322454988921335,1.5865384615384615
2030,3,0.2367,-6.639901329037456,-64.54326923076923,240.1528060124578,86.96822269897095,52.38891582630725,52.38891582630725,0.4050468525166264,1552.4927884615386
2030,3,1.1514,-6.639901329037456,-64.54326923076923,240.1528060124578,86.96822269897095,52.38891582630725,52.38891582630725,0.2731071720860349,26.365384615384617
2030,3,3.112,-6.639901329037456,-64.54326923076923,240.1528060124578,86.96822269897095,52.38891582630725,52.38891582630725,0.04898252788877788,2.0889423076923075
2030,4,0.2367,-6.639901329037456,-64.54326923076923,239.59639760184533,82.65574820519174,47.32684483454148,47.32684483454148,0.3968271165262451,1181.7403846153845
2030,4,1.1514,-6.639901329037456,-64.54326923076923,239.59639760184533,82.65574820519174,47.32684483454148,47.32684483454148,0.2568225469288702,27.55528846153846
2030,4,3.112,-6.639901329037456,-64.54326923076923,239.59639760184533,82.65574820519174,47.32684483454148,47.32684483454148,0.028565705128205124,1.6201923076923077
2030,5,0.2367,-6.639901329037456,-64.54326923076923,167.14710914523624,81.33804563502885,33.73523523236683,33.73523523236683,0.33213221358843165,780.4543269230769
2030,5,1.1514,-6.639901329037456,-64.54326923076923,167.14710914523624,81.33804563502885,33.73523523236683,33.73523523236683,0.15428293861579942,15.721153846153847
2030,5,3.112,-6.639901329037456,-64.54326923076923,167.14710914523624,81.33804563502885,33.73523523236683,33.73523523236683,0.01879578754578754,0.8653846153846154
2030,6,0.2367,-6.639901329037456,-64.54326923076923,74.61540426121316,71.29727810052864,15.398518249535606,15.39851824953561,0.25123023135466815,278.61778846153845
2030,6,1.1514,-6.639901329037456,-64.54326923076923,74.61540426121316,71.29727810052864,15.398518249535606,15.39851824953561,0.05078175706369806,3.65625
2030,6,3.112,-6.639901329037456,-64.54326923076923,74.61540426121316,71.29727810052864,15.398518249535606,15.39851824953561,0.007251602564102564,0.27884615384615385
2030,7,0.2367,-6.639901329037456,-64.54326923076923,42.398961745612596,72.11557702696871,9.437093344936507,9.437093344936507,0.18801766222974645,115.23798076923077
2030,7,1.1514,-6.639901329037456,-64.54326923076923,42.398961745612596,72.11557702696871,9.437093344936507,9.437093344936507,0.02442978362449516,1.0504807692307692
2030,7,3.112,-6.639901329037456,-64.54326923076923,42.398961745612596,72.11557702696871,9.437093344936507,9.437093344936507,0.004006410256410256,0.052884615384615384
2030,8,0.2367,-6.639901329037456,-64.54326923076923,28.596001994830797,75.10163314463492,9.080144343411579,9.080144343411579,0.2069863108486176,77.12740384615384
2030,8,1.1514,-6.639901329037456,-64.54326923076923,28.596001994830797,75.10163314463492,9.080144343411579,9.080144343411579,0.014758852258852258,0.6081730769230769
2030,8,3.112,-6.639901329037456,-64.54326923076923,28.596001994830797,75.10163314463492,9.080144343411579,9.080144343411579,0.0,0.03125
2030,9,0.2367,-6.639901329037456,-64.54326923076923,47.72369190856261,76.11112667958972,20.01548508350864,20.01548508350864,0.31221515906090275,354.6706730769231
2030,9,1.1514,-6.639901329037456,-64.54326923076923,47.72369190856261,76.11112667958972,20.01548508350864,20.01548508350864,0.05720031170752324,2.3966346153846154
2030,9,3.112,-6.639901329037456,-64.54326923076923,47.72369190856261,76.11112667958972,20.01548508350864,20.01548508350864,0.0,0.08173076923076923
2030,10,0.2367,-6.639901329037456,-64.54326923076923,137.1626113983178,86.11973785984749,47.357358627755914,47.357358627755914,0.3960591873380372,1769.5432692307693
